Time,I,Q
51:08.6,520,521
51:08.6,522,520
51:08.6,523,519
51:08.6,527,518
51:08.6,525,521
51:08.6,522,522
51:08.6,524,525
51:08.6,520,519
51:08.6,521,521
51:08.6,524,519
51:08.6,527,519
51:08.6,521,520
51:08.6,520,520
51:08.6,521,520
51:08.6,524,526
51:08.6,524,523
51:08.6,525,522
51:08.6,526,521
51:08.6,520,523
51:08.6,521,523
51:08.6,524,522
51:08.6,517,522
51:08.6,526,521
51:08.6,523,520
51:08.6,522,519
51:08.6,524,517
51:08.6,523,524
51:08.6,522,521
51:08.6,520,522
51:08.6,521,522
51:08.6,522,523
51:08.6,522,523
51:08.6,524,521
51:08.6,526,523
51:08.6,526,522
51:08.6,523,523
51:08.6,522,524
51:08.7,524,521
51:08.7,525,522
51:08.7,523,522
51:08.7,517,524
51:08.7,525,521
51:08.7,522,522
51:08.7,521,518
51:08.7,532,521
51:08.7,523,520
51:08.7,522,525
51:08.7,520,521
51:08.7,518,519
51:08.7,524,526
51:08.7,522,522
51:08.7,524,519
51:08.7,522,521
51:08.7,520,518
51:08.7,520,521
51:08.7,521,520
51:08.7,524,519
51:08.7,523,518
51:08.7,526,525
51:08.7,520,522
51:08.7,526,520
51:08.7,525,521
51:08.7,519,524
51:08.7,524,522
51:08.7,519,524
51:08.7,519,522
51:08.7,521,522
51:08.7,519,523
51:08.7,520,521
51:08.7,523,522
51:08.7,526,520
51:08.7,522,522
51:08.7,528,522
51:08.7,523,520
51:08.7,522,522
51:08.7,518,523
51:08.7,521,520
51:08.8,526,520
51:08.8,525,522
51:08.8,520,520
51:08.8,522,522
51:08.8,522,522
51:08.8,521,519
51:08.8,525,524
51:08.8,521,521
51:08.8,524,523
51:08.8,524,516
51:08.8,526,523
51:08.8,518,519
51:08.8,524,521
51:08.8,525,523
51:08.8,523,523
51:08.8,522,521
51:08.8,523,521
51:08.8,521,520
51:08.8,523,525
51:08.8,522,520
51:08.8,523,519
51:08.8,523,520
51:08.8,523,523
51:08.8,520,522
51:08.8,520,519
51:08.8,527,522
51:08.8,522,521
51:08.8,522,521
51:08.8,522,524
51:08.8,526,522
51:08.8,519,524
51:08.8,516,522
51:08.8,523,522
51:08.8,521,522
51:08.8,519,522
51:08.8,517,515
51:08.8,524,521
51:08.8,522,524
51:08.8,523,523
51:08.8,528,520
51:08.8,521,520
51:08.8,520,520
51:08.8,527,520
51:08.8,523,520
51:08.8,528,518
51:08.8,522,521
51:08.8,518,525
51:08.8,519,522
51:08.8,523,524
51:08.8,523,524
51:08.8,522,521
51:08.8,520,523
51:08.8,522,522
51:08.8,517,521
51:08.8,519,523
51:08.8,517,522
51:08.8,521,524
51:08.8,520,521
51:08.8,524,522
51:08.8,524,519
51:08.8,530,520
51:08.9,524,522
51:08.9,522,519
51:08.9,526,516
51:08.9,523,524
51:08.9,519,518
51:08.9,521,522
51:08.9,522,522
51:08.9,524,522
51:08.9,519,521
51:08.9,521,526
51:08.9,525,521
51:08.9,525,527
51:08.9,519,523
51:08.9,526,521
51:08.9,522,521
51:08.9,527,528
51:08.9,527,525
51:08.9,525,523
51:08.9,520,523
51:08.9,518,523
51:08.9,523,519
51:08.9,524,522
51:08.9,526,522
51:08.9,521,522
51:08.9,523,521
51:08.9,520,519
51:08.9,521,524
51:08.9,520,527
51:08.9,522,522
