Time,I,Q
40:30.2,522,523
40:30.2,521,526
40:30.2,522,522
40:30.2,524,521
40:30.2,526,523
40:30.2,521,519
40:30.2,528,522
40:30.2,522,523
40:30.2,525,525
40:30.2,518,521
40:30.2,523,520
40:30.2,521,520
40:30.2,526,522
40:30.2,518,523
40:30.2,526,523
40:30.3,523,521
40:30.3,519,523
40:30.3,521,521
40:30.3,522,521
40:30.3,525,522
40:30.3,521,521
40:30.3,521,524
40:30.3,523,523
40:30.3,524,524
40:30.3,521,523
40:30.3,524,522
40:30.3,522,519
40:30.3,529,523
40:30.3,520,524
40:30.3,523,521
40:30.3,525,520
40:30.3,524,523
40:30.3,521,522
40:30.3,524,523
40:30.3,522,523
40:30.3,518,522
40:30.3,519,519
40:30.3,529,519
40:30.3,527,521
40:30.3,521,521
40:30.3,523,522
40:30.3,521,525
40:30.3,519,528
40:30.3,520,525
40:30.3,522,519
40:30.3,530,523
40:30.3,516,519
40:30.3,523,525
40:30.3,523,521
40:30.3,517,522
40:30.3,517,519
40:30.3,520,522
40:30.3,523,523
40:30.3,523,516
40:30.3,526,524
40:30.4,518,524
40:30.4,525,520
40:30.4,525,519
40:30.4,524,522
40:30.4,528,521
40:30.4,524,521
40:30.4,523,523
40:30.4,523,523
40:30.4,524,526
40:30.4,515,519
40:30.4,527,523
40:30.4,516,520
40:30.4,524,523
40:30.4,524,523
40:30.4,523,517
40:30.4,526,523
40:30.4,522,522
40:30.4,524,521
40:30.4,519,524
40:30.4,524,520
40:30.4,519,521
40:30.4,524,524
40:30.4,524,524
40:30.4,524,521
40:30.4,524,522
40:30.4,523,521
40:30.4,521,522
40:30.4,524,520
40:30.4,529,525
40:30.4,521,522
40:30.4,523,525
40:30.4,523,520
40:30.4,530,522
40:30.4,521,518
40:30.4,522,525
40:30.4,523,522
40:30.4,522,522
40:30.4,524,521
40:30.4,521,521
40:30.4,520,523
40:30.5,519,525
40:30.5,524,518
40:30.5,529,525
40:30.5,520,526
40:30.5,520,523
40:30.5,523,521
40:30.5,522,525
40:30.5,522,521
40:30.5,524,525
40:30.5,519,521
40:30.5,521,523
40:30.5,520,523
40:30.5,521,522
40:30.5,526,520
40:30.5,524,524
40:30.5,526,519
40:30.5,519,521
40:30.5,522,522
40:30.5,514,519
40:30.5,524,522
40:30.5,517,519
40:30.5,520,523
40:30.5,516,523
40:30.5,520,523
40:30.5,521,520
40:30.5,524,523
40:30.5,519,523
40:30.5,524,524
40:30.5,521,526
40:30.5,519,520
40:30.5,526,522
40:30.5,522,520
40:30.5,532,522
40:30.5,520,525
40:30.5,519,524
40:30.5,524,519
40:30.5,528,523
40:30.5,520,526
40:30.5,520,523
40:30.5,524,519
40:30.5,523,523
40:30.6,518,524
40:30.6,526,516
40:30.6,528,515
40:30.6,522,522
40:30.6,521,527
40:30.6,523,525
40:30.6,518,526
40:30.6,519,523
40:30.6,520,526
40:30.6,518,524
40:30.6,522,522
40:30.6,526,521
40:30.6,525,522
40:30.6,519,522
40:30.6,524,524
40:30.6,518,523
40:30.6,522,519
40:30.6,526,521
40:30.6,520,522
40:30.6,522,520
40:30.6,528,521
40:30.6,523,519
40:30.6,528,516
40:30.6,525,523
40:30.6,518,520
40:30.6,524,524
40:30.6,524,524
40:30.6,522,519
40:30.6,518,522
40:30.6,523,519
40:30.6,529,519
40:30.6,524,523
40:30.6,518,526
40:30.6,524,522
40:30.6,522,522
40:30.6,520,522
40:30.6,519,519
40:30.6,522,517
40:30.6,526,522
40:30.6,527,524
40:30.7,523,523
40:30.7,516,517
40:30.7,528,517
40:30.7,522,521
40:30.7,527,520
40:30.7,520,522
40:30.7,519,519
40:30.7,525,518
40:30.7,526,519
40:30.7,523,516
40:30.7,527,525
40:30.7,520,519
40:30.7,524,522
40:30.7,525,519
40:30.7,518,520
40:30.7,524,520
40:30.7,522,523
40:30.7,526,518
40:30.7,524,520
40:30.7,524,524
40:30.7,522,521
40:30.7,524,524
40:30.7,516,520
40:30.7,525,525
40:30.7,518,523
40:30.7,522,521
40:30.7,519,523
40:30.7,523,521
40:30.7,525,525
40:30.7,524,523
40:30.7,520,522
40:30.7,522,519
40:30.7,526,522
40:30.7,526,523
40:30.7,521,523
40:30.7,525,523
40:30.7,519,522
40:30.7,525,518
40:30.7,525,517
40:30.7,531,518
40:30.8,531,524
40:30.8,518,524
40:30.8,522,520
40:30.8,527,525
40:30.8,522,524
40:30.8,517,522
40:30.8,516,524
40:30.8,520,520
40:30.8,529,520
40:30.8,517,520
40:30.8,523,518
40:30.8,529,524
40:30.8,527,524
40:30.8,522,517
40:30.8,524,520
40:30.8,523,522
40:30.8,524,523
40:30.8,523,522
40:30.8,522,523
40:30.8,519,525
40:30.8,519,521
40:30.8,513,519
40:30.8,527,524
40:30.8,521,519
40:30.8,524,520
40:30.8,526,520
40:30.8,525,521
40:30.8,532,524
40:30.8,525,521
40:30.8,525,524
40:30.8,521,521
40:30.8,522,519
40:30.8,524,517
40:30.8,528,520
40:30.8,525,520
40:30.8,522,521
40:30.8,522,520
40:30.8,523,521
40:30.8,521,524
40:30.8,528,520
40:30.8,522,526
40:30.8,519,523
40:30.8,523,525
40:30.8,516,523
40:30.8,518,523
40:30.8,519,520
40:30.8,525,524
40:30.8,518,522
40:30.8,525,526
40:30.8,520,522
40:30.8,524,522
40:30.8,522,520
40:30.8,521,527
40:30.8,521,521
40:30.8,527,522
40:30.8,525,528
40:30.8,522,528
40:30.8,522,530
40:30.8,521,522
40:30.8,524,524
40:30.8,527,525
40:30.9,524,524
40:30.9,523,525
40:30.9,519,526
40:30.9,523,521
40:30.9,526,517
40:30.9,528,523
40:30.9,522,521
40:30.9,524,517
40:30.9,530,521
40:30.9,519,518
40:30.9,522,520
40:30.9,526,518
40:30.9,526,523
40:30.9,525,518
40:30.9,529,523
40:30.9,520,516
40:30.9,526,519
40:30.9,522,520
40:30.9,526,519
40:30.9,519,524
40:30.9,522,521
40:30.9,518,526
40:30.9,521,522
40:30.9,523,521
40:30.9,527,524
40:30.9,522,520
40:30.9,526,525
40:30.9,523,523
40:30.9,528,522
40:30.9,523,519
40:30.9,524,522
40:30.9,523,522
40:30.9,519,522
40:30.9,523,517
40:30.9,523,521
40:30.9,521,520
40:30.9,528,519
40:30.9,523,527
40:30.9,517,522
40:30.9,523,526
40:31.0,517,527
40:31.0,521,519
40:31.0,530,527
40:31.0,521,522
40:31.0,523,525
40:31.0,522,530
40:31.0,520,526
40:31.0,522,526
40:31.0,519,528
40:31.0,520,524
40:31.0,524,519
40:31.0,525,525
40:31.0,524,523
40:31.0,519,523
40:31.0,519,521
40:31.0,529,523
40:31.0,525,519
40:31.0,522,525
40:31.0,520,520
40:31.0,520,522
40:31.0,521,522
40:31.0,521,522
40:31.0,519,526
40:31.0,518,523
40:31.0,526,519
40:31.0,521,519
40:31.0,526,523
40:31.0,518,519
40:31.0,523,523
40:31.0,521,519
40:31.0,524,523
40:31.0,520,521
40:31.0,521,519
