Time,I,Q
47:14.4,528,521
47:14.4,523,525
47:14.4,521,523
47:14.4,519,522
47:14.4,525,521
47:14.4,528,519
47:14.4,524,523
47:14.4,521,519
47:14.4,529,525
47:14.4,518,522
47:14.4,519,523
47:14.4,525,519
47:14.4,525,524
47:14.5,522,523
47:14.5,524,524
47:14.5,520,520
47:14.5,521,523
47:14.5,520,520
47:14.5,526,518
47:14.5,523,519
47:14.5,528,522
47:14.5,516,526
47:14.5,516,522
47:14.5,516,522
47:14.5,523,523
47:14.5,520,524
47:14.5,522,523
47:14.5,521,520
47:14.5,528,521
47:14.5,521,522
47:14.5,526,524
47:14.5,524,521
47:14.5,519,522
47:14.5,524,522
47:14.5,522,518
47:14.5,526,518
47:14.5,521,518
47:14.5,525,521
47:14.5,524,521
47:14.5,522,521
47:14.5,524,522
47:14.5,520,525
47:14.5,515,525
47:14.5,522,521
47:14.5,527,521
47:14.5,524,519
47:14.5,524,523
47:14.5,524,526
47:14.5,524,525
47:14.5,525,517
47:14.5,530,522
47:14.5,524,519
47:14.5,529,522
47:14.6,522,520
47:14.6,519,523
47:14.6,522,521
47:14.6,522,523
47:14.6,519,522
47:14.6,527,523
47:14.6,525,520
47:14.6,524,521
47:14.6,522,522
47:14.6,521,524
47:14.6,519,523
47:14.6,518,520
47:14.6,519,520
47:14.6,523,526
47:14.6,516,526
47:14.6,524,520
47:14.6,524,525
47:14.6,523,523
47:14.6,529,526
47:14.6,521,520
47:14.6,526,523
47:14.6,525,521
47:14.6,519,521
47:14.6,525,523
47:14.6,522,526
47:14.6,524,525
47:14.6,525,520
47:14.6,524,524
47:14.6,513,524
47:14.6,524,524
47:14.6,519,522
47:14.6,521,519
47:14.6,519,525
47:14.6,523,526
47:14.6,525,520
47:14.6,524,520
47:14.6,520,520
47:14.6,523,520
47:14.6,520,518
47:14.6,525,524
47:14.6,517,517
47:14.7,528,521
47:14.7,518,522
47:14.7,520,522
47:14.7,521,521
47:14.7,522,523
47:14.7,522,527
47:14.7,517,524
47:14.7,522,520
47:14.7,526,521
47:14.7,521,520
47:14.7,532,523
47:14.7,519,520
47:14.7,526,523
47:14.7,525,521
47:14.7,520,520
47:14.7,525,523
47:14.7,520,522
47:14.7,524,519
47:14.7,524,522
47:14.7,525,524
47:14.7,518,523
47:14.7,519,522
47:14.7,525,523
47:14.7,522,521
47:14.7,524,522
47:14.7,524,521
47:14.7,523,523
47:14.7,522,521
47:14.7,525,521
47:14.7,522,516
47:14.7,523,524
47:14.7,520,523
47:14.7,527,523
47:14.7,526,522
47:14.7,523,525
47:14.7,522,522
47:14.7,518,525
47:14.7,516,523
47:14.7,522,519
47:14.7,521,520
47:14.7,527,525
47:14.7,518,524
47:14.7,522,523
47:14.7,525,520
47:14.7,527,524
47:14.7,520,519
47:14.7,522,520
47:14.7,522,519
47:14.7,517,517
47:14.7,521,521
47:14.7,519,518
47:14.7,530,520
47:14.7,524,518
47:14.7,529,521
47:14.7,527,522
47:14.7,522,524
47:14.7,519,523
47:14.7,518,523
47:14.7,526,524
47:14.7,520,526
47:14.7,518,524
47:14.8,520,523
47:14.8,524,523
47:14.8,520,525
47:14.8,526,522
47:14.8,521,527
47:14.8,515,523
47:14.8,523,523
47:14.8,518,523
47:14.8,522,527
47:14.8,520,524
47:14.8,524,522
47:14.8,527,520
47:14.8,525,520
47:14.8,529,522
47:14.8,520,519
47:14.8,527,519
47:14.8,524,522
47:14.8,525,523
47:14.8,526,520
47:14.8,522,521
47:14.8,523,523
47:14.8,523,522
47:14.8,519,517
47:14.8,528,522
47:14.8,518,519
47:14.8,526,521
47:14.8,527,522
47:14.8,524,519
47:14.8,524,521
47:14.8,523,524
47:14.8,519,522
47:14.8,516,525
47:14.8,523,527
47:14.8,513,521
47:14.8,530,520
47:14.8,524,524
47:14.8,519,525
47:14.8,518,521
47:14.8,525,525
47:14.8,524,521
47:14.9,524,524
47:14.9,524,520
47:14.9,523,524
47:14.9,516,521
47:14.9,522,523
47:14.9,526,523
47:14.9,522,522
47:14.9,531,521
47:14.9,518,521
47:14.9,523,523
47:14.9,526,519
47:14.9,522,520
47:14.9,529,522
47:14.9,517,522
47:14.9,522,526
47:14.9,518,523
47:14.9,524,524
47:14.9,519,523
47:14.9,525,522
47:14.9,519,525
47:14.9,524,521
47:14.9,524,523
47:14.9,521,523
47:14.9,512,521
47:14.9,525,525
47:14.9,520,520
47:14.9,527,523
47:14.9,522,522
47:14.9,523,525
47:14.9,518,523
47:14.9,519,518
47:14.9,528,523
47:14.9,528,523
47:14.9,519,521
47:14.9,524,523
47:14.9,517,523
47:14.9,523,527
47:14.9,517,523
47:14.9,524,524
47:14.9,523,526
47:15.0,514,527
47:15.0,524,524
47:15.0,523,527
