Time,I,Q
52:33.8,489,658
52:33.8,488,659
52:33.8,481,674
52:33.8,450,670
52:33.8,452,667
52:33.8,449,664
52:33.8,440,663
52:33.8,432,660
52:33.8,425,652
52:33.8,418,644
52:33.8,419,639
52:33.8,420,630
52:33.8,410,618
52:33.8,406,609
52:33.8,413,594
52:33.8,409,587
52:33.8,408,566
52:33.8,417,553
52:33.8,410,540
52:33.8,422,529
52:33.9,425,516
52:33.9,436,503
52:33.9,445,483
52:33.9,457,472
52:33.9,462,462
52:33.9,476,449
52:33.9,477,441
52:33.9,495,430
52:33.9,499,423
52:33.9,508,414
52:33.9,515,406
52:33.9,520,399
52:33.9,537,395
52:33.9,539,390
52:33.9,554,387
52:33.9,557,387
52:33.9,561,384
52:33.9,566,385
52:33.9,580,383
52:33.9,587,387
52:33.9,588,391
52:33.9,593,396
52:33.9,600,402
52:33.9,607,404
52:33.9,619,412
52:33.9,622,421
52:33.9,623,430
52:33.9,631,441
52:33.9,629,455
52:33.9,629,466
52:33.9,625,475
52:33.9,628,488
52:33.9,627,501
52:33.9,616,513
52:33.9,617,530
52:33.9,610,542
52:33.9,601,552
52:33.9,594,562
52:33.9,590,574
52:33.9,580,582
52:33.9,562,590
52:34.0,559,597
52:34.0,546,609
52:34.0,540,617
52:34.0,526,622
52:34.0,521,626
52:34.0,514,633
52:34.0,499,636
52:34.0,501,641
52:34.0,485,642
52:34.0,476,648
52:34.0,468,644
52:34.0,469,647
52:34.0,457,644
52:34.0,461,639
52:34.0,462,641
52:34.0,454,636
52:34.0,447,624
52:34.0,445,625
52:34.0,442,617
52:34.0,437,607
52:34.0,439,599
52:34.0,435,592
52:34.0,436,578
52:34.0,445,565
52:34.0,439,555
52:34.0,449,545
52:34.0,446,536
52:34.0,445,525
52:34.0,453,512
52:34.0,465,501
52:34.0,471,495
52:34.0,475,485
52:34.0,480,474
52:34.0,479,472
52:34.0,485,461
52:34.0,496,460
52:34.0,498,456
52:34.0,504,454
