Time,I,Q
51:09.3,523,521
51:09.3,522,525
51:09.3,522,522
51:09.3,524,523
51:09.3,523,520
51:09.3,523,519
51:09.3,527,522
51:09.3,522,523
51:09.3,519,520
51:09.3,524,525
51:09.3,524,523
51:09.3,522,520
51:09.3,525,520
51:09.3,527,518
51:09.3,525,523
51:09.3,525,521
51:09.3,520,520
51:09.3,521,526
51:09.3,522,523
51:09.3,519,523
51:09.3,521,525
51:09.4,517,522
51:09.4,524,524
51:09.4,518,518
51:09.4,523,520
51:09.4,523,523
51:09.4,517,519
51:09.4,535,526
51:09.4,520,522
51:09.4,521,521
51:09.4,521,525
51:09.4,519,518
51:09.4,528,521
51:09.4,522,522
51:09.4,522,522
51:09.4,518,524
51:09.4,521,519
51:09.4,522,525
51:09.4,521,519
51:09.4,523,519
51:09.4,522,520
51:09.4,526,521
51:09.4,526,527
51:09.4,517,525
51:09.4,518,519
51:09.4,526,521
51:09.4,526,523
51:09.4,518,523
51:09.4,521,521
51:09.4,528,522
51:09.4,525,519
51:09.4,522,520
51:09.4,519,523
51:09.4,520,525
51:09.4,522,524
51:09.4,516,518
51:09.4,525,524
51:09.4,517,526
51:09.4,519,521
51:09.4,527,524
51:09.4,526,522
51:09.4,520,520
51:09.4,525,518
51:09.4,527,519
51:09.5,524,518
51:09.5,526,519
51:09.5,528,519
51:09.5,522,521
51:09.5,521,517
51:09.5,523,522
51:09.5,523,526
51:09.5,521,523
51:09.5,523,519
51:09.5,522,521
51:09.5,525,524
51:09.5,524,522
51:09.5,521,522
51:09.5,525,520
51:09.5,526,522
51:09.5,523,521
51:09.5,520,526
51:09.5,517,521
51:09.5,524,525
51:09.5,520,521
51:09.5,522,522
51:09.5,519,519
51:09.5,524,521
51:09.5,521,519
51:09.5,527,524
51:09.5,516,520
51:09.5,526,525
51:09.5,522,521
51:09.5,525,523
51:09.5,527,523
51:09.5,520,524
51:09.5,524,524
51:09.5,526,525
51:09.5,526,522
51:09.5,524,523
51:09.5,524,518
51:09.5,528,520
51:09.5,525,525
51:09.5,517,520
51:09.5,521,518
51:09.5,531,518
51:09.5,519,521
51:09.5,520,519
51:09.6,524,523
51:09.6,523,522
51:09.6,523,519
51:09.6,523,518
51:09.6,525,523
51:09.6,517,523
51:09.6,520,524
51:09.6,519,520
51:09.6,521,526
51:09.6,520,521
51:09.6,525,517
51:09.6,523,519
51:09.6,522,522
51:09.6,522,519
51:09.6,523,522
51:09.6,526,521
51:09.6,526,519
51:09.6,522,521
51:09.6,522,522
51:09.6,518,522
51:09.6,524,523
51:09.6,521,522
51:09.6,523,525
51:09.6,520,522
51:09.6,523,527
51:09.6,525,523
51:09.6,526,522
51:09.6,524,520
51:09.6,526,524
51:09.6,522,521
51:09.6,523,520
51:09.6,522,519
51:09.6,526,520
51:09.6,521,519
51:09.6,527,522
51:09.6,523,519
51:09.6,521,521
51:09.6,520,527
51:09.6,517,519
51:09.6,529,522
51:09.6,521,523
51:09.6,523,525
51:09.6,518,521
51:09.7,525,522
51:09.7,519,518
51:09.7,525,520
51:09.7,530,520
51:09.7,524,518
51:09.7,525,522
51:09.7,521,524
51:09.7,521,519
51:09.7,520,521
51:09.7,519,518
51:09.7,524,518
51:09.7,522,520
51:09.7,523,527
51:09.7,521,523
51:09.7,520,522
51:09.7,526,522
51:09.7,519,522
51:09.7,521,522
51:09.7,525,519
51:09.7,529,524
51:09.7,523,522
51:09.7,517,523
51:09.7,524,523
51:09.7,523,523
51:09.7,522,522
51:09.7,528,525
51:09.7,521,522
51:09.7,520,523
51:09.7,520,520
51:09.7,524,521
51:09.7,522,520
51:09.7,524,524
51:09.7,518,522
51:09.7,528,525
51:09.7,524,520
51:09.7,517,522
51:09.7,520,520
51:09.7,525,521
51:09.7,524,523
51:09.7,522,521
51:09.7,522,522
51:09.7,523,522
51:09.7,523,523
51:09.8,524,526
51:09.8,519,525
51:09.8,520,519
51:09.8,527,519
51:09.8,527,521
51:09.8,522,517
51:09.8,520,519
51:09.8,521,520
51:09.8,527,519
51:09.8,525,518
51:09.8,524,521
51:09.8,526,522
51:09.8,527,522
51:09.8,521,522
51:09.8,523,523
51:09.8,520,522
51:09.8,520,525
51:09.8,519,522
51:09.8,522,520
51:09.8,525,522
51:09.8,522,522
51:09.8,523,524
51:09.8,515,522
51:09.8,521,523
51:09.8,518,523
51:09.8,516,520
51:09.8,523,522
51:09.8,522,523
51:09.8,517,520
51:09.8,522,522
51:09.8,523,524
51:09.8,521,524
51:09.8,519,520
51:09.8,524,522
51:09.8,523,524
51:09.8,523,523
51:09.8,525,520
51:09.8,524,518
51:09.8,525,522
51:09.8,528,523
51:09.8,525,517
51:09.8,521,521
51:09.8,519,522
51:09.9,525,522
51:09.9,523,522
51:09.9,525,520
51:09.9,521,525
51:09.9,524,524
51:09.9,525,522
51:09.9,526,520
51:09.9,522,521
51:09.9,519,519
51:09.9,520,524
51:09.9,524,522
51:09.9,520,522
51:09.9,519,525
51:09.9,522,516
51:09.9,528,518
51:09.9,522,524
51:09.9,522,526
51:09.9,521,525
51:09.9,517,521
51:09.9,525,524
51:09.9,519,525
51:09.9,522,523
51:09.9,519,521
51:09.9,522,523
51:09.9,526,524
51:09.9,522,522
51:09.9,522,524
51:09.9,522,523
51:09.9,521,525
51:09.9,520,523
51:09.9,519,519
51:09.9,521,523
51:09.9,526,522
51:09.9,517,518
51:09.9,528,522
51:09.9,521,523
51:09.9,521,522
51:09.9,518,523
51:09.9,523,520
51:09.9,523,520
51:09.9,525,520
51:09.9,527,521
51:09.9,523,518
51:10.0,525,518
51:10.0,523,521
51:10.0,528,521
51:10.0,522,524
51:10.0,514,524
51:10.0,518,520
51:10.0,525,520
51:10.0,523,520
51:10.0,524,523
51:10.0,522,521
51:10.0,525,526
51:10.0,517,528
51:10.0,512,523
51:10.0,524,525
51:10.0,522,522
51:10.0,530,524
51:10.0,525,525
51:10.0,523,523
51:10.0,524,521
51:10.0,522,525
51:10.0,522,523
51:10.0,521,523
51:10.0,522,522
51:10.0,528,523
51:10.0,521,517
51:10.0,529,518
51:10.0,527,518
51:10.0,529,521
51:10.0,525,517
51:10.0,523,518
51:10.0,519,520
51:10.0,521,521
51:10.0,521,520
51:10.0,523,518
51:10.0,522,522
51:10.0,516,520
51:10.0,517,515
51:10.0,526,525
51:10.0,516,523
51:10.0,517,520
51:10.0,520,524
51:10.0,516,521
51:10.0,524,525
51:10.0,519,523
51:10.1,522,521
51:10.1,521,524
51:10.1,522,524
51:10.1,523,523
51:10.1,524,523
51:10.1,522,523
51:10.1,525,524
51:10.1,521,526
51:10.1,521,524
51:10.1,526,525
51:10.1,520,521
51:10.1,527,522
51:10.1,526,518
51:10.1,523,522
51:10.1,526,520
51:10.1,529,515
51:10.1,531,523
51:10.1,519,521
51:10.1,515,519
51:10.1,524,518
51:10.1,526,519
51:10.1,524,518
51:10.1,523,519
51:10.1,522,523
51:10.1,522,522
51:10.1,518,523
51:10.1,517,521
51:10.1,522,521
51:10.1,526,526
51:10.1,517,524
51:10.1,520,525
51:10.1,525,526
51:10.1,522,525
51:10.1,519,525
51:10.1,520,525
51:10.1,521,525
51:10.1,521,525
51:10.1,522,526
51:10.1,524,527
51:10.1,520,524
51:10.1,521,525
51:10.1,526,522
51:10.1,523,524
51:10.2,525,521
51:10.2,526,525
51:10.2,527,520
51:10.2,532,519
51:10.2,526,518
51:10.2,524,519
51:10.2,526,516
51:10.2,527,519
51:10.2,528,518
51:10.2,529,517
51:10.2,521,516
51:10.2,524,517
51:10.2,521,521
51:10.2,514,521
51:10.2,517,519
51:10.2,528,521
51:10.2,520,520
51:10.2,521,521
51:10.2,519,523
51:10.2,517,519
51:10.2,527,522
51:10.2,522,523
51:10.2,521,516
51:10.2,526,516
51:10.2,524,529
51:10.2,522,528
51:10.2,520,526
51:10.2,527,523
51:10.2,518,527
51:10.2,521,524
51:10.2,522,525
51:10.2,520,522
51:10.2,523,522
51:10.2,521,524
51:10.2,520,524
51:10.2,522,518
51:10.2,529,523
51:10.2,518,520
51:10.2,525,523
51:10.2,527,521
51:10.2,519,521
51:10.2,518,520
51:10.2,523,522
51:10.3,523,521
51:10.3,525,520
51:10.3,520,522
51:10.3,523,519
51:10.3,522,526
51:10.3,521,523
51:10.3,520,524
51:10.3,520,522
51:10.3,522,521
51:10.3,522,522
51:10.3,521,522
51:10.3,525,524
51:10.3,522,528
51:10.3,523,520
51:10.3,519,524
51:10.3,521,525
51:10.3,519,521
51:10.3,524,524
51:10.3,525,527
51:10.3,526,522
51:10.3,518,523
51:10.3,519,523
51:10.3,526,522
51:10.3,528,521
51:10.3,523,524
51:10.3,521,526
51:10.3,522,524
51:10.3,525,520
51:10.3,521,519
51:10.3,520,520
51:10.3,527,524
51:10.3,521,518
51:10.3,524,520
51:10.3,524,518
51:10.3,527,526
51:10.3,522,517
51:10.3,525,522
51:10.3,522,523
51:10.3,523,521
51:10.3,522,524
51:10.3,526,522
51:10.3,521,519
51:10.3,518,522
51:10.4,522,523
51:10.4,522,523
51:10.4,521,521
51:10.4,523,524
51:10.4,525,520
51:10.4,524,523
51:10.4,520,523
51:10.4,519,524
51:10.4,518,523
51:10.4,524,522
51:10.4,516,520
51:10.4,521,523
51:10.4,522,526
51:10.4,518,522
