Time,I,Q
49:59.3,528,523
49:59.3,526,522
49:59.3,519,523
49:59.3,518,522
49:59.3,520,519
49:59.3,522,523
49:59.3,513,523
49:59.3,530,521
49:59.3,522,524
49:59.3,526,521
49:59.3,527,522
49:59.3,525,521
49:59.3,528,521
49:59.3,520,522
49:59.3,519,521
49:59.3,521,522
49:59.3,527,523
49:59.3,521,521
49:59.3,520,524
49:59.3,524,524
49:59.3,524,523
49:59.3,518,522
49:59.3,521,521
49:59.3,526,521
49:59.3,525,521
49:59.3,517,519
49:59.3,531,522
49:59.3,524,520
49:59.3,520,520
49:59.3,523,520
49:59.3,521,521
49:59.4,525,522
49:59.4,522,521
49:59.4,527,520
49:59.4,519,523
49:59.4,524,522
49:59.4,523,522
49:59.4,526,522
49:59.4,522,523
49:59.4,525,523
49:59.4,526,522
49:59.4,523,523
49:59.4,527,521
49:59.4,525,523
49:59.4,521,521
49:59.4,524,522
49:59.4,519,522
49:59.4,518,522
49:59.4,527,521
49:59.4,525,520
49:59.4,525,521
49:59.4,524,522
49:59.4,523,523
49:59.4,525,523
49:59.4,519,524
49:59.4,522,524
49:59.4,519,523
49:59.4,522,523
49:59.4,525,522
49:59.4,520,523
49:59.4,522,522
49:59.4,520,521
49:59.4,522,522
49:59.4,524,520
49:59.4,530,520
49:59.4,524,523
49:59.4,528,522
49:59.4,527,521
49:59.4,524,520
49:59.4,522,520
49:59.4,522,521
49:59.4,524,523
49:59.4,520,522
49:59.4,523,522
49:59.4,522,521
49:59.4,519,521
49:59.4,527,523
49:59.4,524,523
49:59.4,523,522
49:59.4,521,521
49:59.4,523,520
49:59.4,521,523
49:59.4,528,521
49:59.4,521,521
49:59.4,524,521
49:59.4,521,522
49:59.4,522,520
49:59.4,523,519
49:59.4,522,520
49:59.4,527,521
49:59.4,523,520
49:59.5,520,524
49:59.5,520,523
49:59.5,524,524
49:59.5,525,521
49:59.5,521,523
49:59.5,523,521
49:59.5,517,523
49:59.5,526,523
49:59.5,525,523
49:59.5,525,522
49:59.5,526,521
49:59.5,519,521
49:59.5,520,520
49:59.5,525,521
49:59.5,521,522
49:59.5,518,521
49:59.5,525,520
49:59.5,522,522
49:59.5,520,520
49:59.5,526,520
49:59.5,523,520
49:59.5,523,522
49:59.5,522,523
49:59.5,527,525
49:59.5,518,523
49:59.5,521,521
49:59.5,521,522
49:59.5,524,521
49:59.5,525,521
49:59.5,522,522
49:59.5,523,524
49:59.5,524,521
49:59.5,519,522
49:59.5,522,522
49:59.5,522,522
49:59.5,522,522
49:59.5,524,521
49:59.5,529,521
49:59.5,516,521
49:59.5,517,522
49:59.6,521,522
49:59.6,526,521
49:59.6,518,521
49:59.6,528,522
49:59.6,517,523
49:59.6,525,523
49:59.6,529,522
49:59.6,525,521
49:59.6,525,523
49:59.6,517,523
49:59.6,521,524
49:59.6,520,524
49:59.6,520,523
49:59.6,522,522
